"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1074","Проверка создания нового курьера без firstName","tests","2026-07-04","passed","2026-07-04","TestCreateCourier","test_create_courier","",""
"","528","Попытка логина существующим пользователем с некорректным паролем","tests","2026-07-04","passed","2026-07-04","TestLogin","test_login","",""
"","12479","Проверка получения списка заказов","tests","2026-07-04","passed","2026-07-04","TestOrdersList","test_get_list_orders","",""
"","526","Попытка авторизации несуществующим пользователем","tests","2026-07-04","passed","2026-07-04","TestLogin","test_login","",""
"","548","Проверка создания заказа с самокатами разных цветов","tests","2026-07-04","passed","2026-07-04","TestCreateOrder","test_create_order","",""
"","553","Проверка создания заказа с самокатами разных цветов","tests","2026-07-04","passed","2026-07-04","TestCreateOrder","test_create_order","",""
"","1898","Проверка попытки повторно зарегистрировать существующиего курьера","tests","2026-07-04","skipped","2026-07-04","TestCreateCourier","test_create_courier","",""
"","564","Проверка создания заказа с самокатами разных цветов","tests","2026-07-04","passed","2026-07-04","TestCreateOrder","test_create_order","",""
"","553","Проверка попытки создания курьера без password","tests","2026-07-04","passed","2026-07-04","TestCreateCourier","test_create_courier","",""
"","1209","Проверка успешного создания нового курьера","tests","2026-07-04","passed","2026-07-04","TestCreateCourier","test_create_courier","",""
"","550","Попытка логина существующим пользователем с некорректным логином","tests","2026-07-04","passed","2026-07-04","TestLogin","test_login","",""
"","60551","Попытка авторизации без пароля","tests","2026-07-04","skipped","2026-07-04","TestLogin","test_login","",""
"","544","Проверка попытки создания курьера без login","tests","2026-07-04","passed","2026-07-04","TestCreateCourier","test_create_courier","",""
"","614","Попытка авторизации без логина","tests","2026-07-04","passed","2026-07-04","TestLogin","test_login","",""
"","546","Проверка создания заказа с самокатами разных цветов","tests","2026-07-04","passed","2026-07-04","TestCreateOrder","test_create_order","",""
"","649","Тест успешного логина существующим пользователем","tests","2026-07-04","passed","2026-07-04","TestLogin","test_login","",""
